industry,T008_Total_Industry_Output
111CA_Farms,117591
113FF_Forestry_fishing_and_related_activities,22818
211_Oil_and_gas_extraction,46632
212_Mining_except_oil_and_gas,33939
213_Support_activities_for_mining,16851
22_Utilities,98397
23_Construction,252315
311FT_Food_and_beverage_and_tobacco_products,219802
313TT_Textile_mills_and_textile_product_mills,47357
315AL_Apparel_and_leather_and_allied_products,46468
321_Wood_products,35035
322_Paper_products,57032
323_Printing_and_related_support_activities,27475
324_Petroleum_and_coal_products,102293
325_Chemical_products,125345
326_Plastics_and_rubber_products,44286
327_Nonmetallic_mineral_products,39650
331_Primary_metals,113105
332_Fabricated_metal_products,105404
333_Machinery,109268
334_Computer_and_electronic_products,88919
335_Electrical_equipment_appliances_and_components,45953
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,157771
3364OT_Other_transportation_equipment,64484
337_Furniture_and_related_products,21455
339_Miscellaneous_manufacturing,31457
42_Wholesale_trade,207385
44RT_Retail_trade,245665
48_Transportation,162884
493_Warehousing_and_storage,6524
51_Information,145146
52_Finance_and_insurance,192564
531_Real_estate,274180
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,24027
54_Professional_scientific_and_technical_services,106451
55_Management_of_companies_and_enterprises,47704
56_Administrative_and_waste_management_services,43221
61_Educational_services,25408
62_Health_care_and_social_assistance,133464
71_Arts_entertainment_and_recreation,22929
721_Accommodation,22301
722_Food_services_and_drinking_places,83656
81_Other_services_except_government,85616
GFE_Federal_government_enterprises,22244
GFG_Federal_general_government,175039
GSLE_State_and_local_government_enterprises,27142
GSLG_State_and_local_general_government,242135
