industry,Total_Industry_Output
111CA_Farms,202363
113FF_Forestry_fishing_and_related_activities,39509
211_Oil_and_gas_extraction,116721
212_Mining_except_oil_and_gas,54442
213_Support_activities_for_mining,24831
22_Utilities,325154
23_Construction,969697
311FT_Food_and_beverage_and_tobacco_products,568695
313TT_Textile_mills_and_textile_product_mills,75379
315AL_Apparel_and_leather_and_allied_products,50868
321_Wood_products,90172
322_Paper_products,152466
323_Printing_and_related_support_activities,99721
324_Petroleum_and_coal_products,214238
325_Chemical_products,471418
326_Plastics_and_rubber_products,173411
327_Nonmetallic_mineral_products,95253
331_Primary_metals,139163
332_Fabricated_metal_products,246866
333_Machinery,246792
334_Computer_and_electronic_products,390169
335_Electrical_equipment_appliances_and_components,100858
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,476661
3364OT_Other_transportation_equipment,175760
337_Furniture_and_related_products,75622
339_Miscellaneous_manufacturing,127030
42_Wholesale_trade,891879
44RT_Retail_trade,1045302
48_Transportation,555773
493_Warehousing_and_storage,39693
51_Information,1045110
52_Finance_and_insurance,1401733
531_Real_estate,1732661
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,201909
54_Professional_scientific_and_technical_services,1122587
55_Management_of_companies_and_enterprises,261756
56_Administrative_and_waste_management_services,467841
61_Educational_services,166198
62_Health_care_and_social_assistance,1140838
71_Arts_entertainment_and_recreation,167268
721_Accommodation,147634
722_Food_services_and_drinking_places,405537
81_Other_services_except_government,458249
GFE_Federal_government_enterprises,87238
GFG_Federal_general_government,592370
GSLE_State_and_local_government_enterprises,160503
GSLG_State_and_local_general_government,1375495
