industry,T008_Total_Industry_Output
111CA_Farms,182156
113FF_Forestry_fishing_and_related_activities,36494
211_Oil_and_gas_extraction,78148
212_Mining_except_oil_and_gas,49128
213_Support_activities_for_mining,17802
22_Utilities,239130
23_Construction,545345
311FT_Food_and_beverage_and_tobacco_products,455347
313TT_Textile_mills_and_textile_product_mills,80285
315AL_Apparel_and_leather_and_allied_products,77884
321_Wood_products,72093
322_Paper_products,126231
323_Printing_and_related_support_activities,83220
324_Petroleum_and_coal_products,143445
325_Chemical_products,332519
326_Plastics_and_rubber_products,123220
327_Nonmetallic_mineral_products,65116
331_Primary_metals,129707
332_Fabricated_metal_products,181867
333_Machinery,197433
334_Computer_and_electronic_products,293151
335_Electrical_equipment_appliances_and_components,89092
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,319659
3364OT_Other_transportation_equipment,145455
337_Furniture_and_related_products,48936
339_Miscellaneous_manufacturing,87904
42_Wholesale_trade,580331
44RT_Retail_trade,679354
48_Transportation,380189
493_Warehousing_and_storage,18525
51_Information,504054
52_Finance_and_insurance,744002
531_Real_estate,992623
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,106118
54_Professional_scientific_and_technical_services,539952
55_Management_of_companies_and_enterprises,147680
56_Administrative_and_waste_management_services,228256
61_Educational_services,89199
62_Health_care_and_social_assistance,671105
71_Arts_entertainment_and_recreation,89829
721_Accommodation,87548
722_Food_services_and_drinking_places,254381
81_Other_services_except_government,278791
GFE_Federal_government_enterprises,62789
GFG_Federal_general_government,456593
GSLE_State_and_local_government_enterprises,101454
GSLG_State_and_local_general_government,810859
