industry,T008_Total_Industry_Output
111CA_Farms,45518
113FF_Forestry_fishing_and_related_activities,6811
211_Oil_and_gas_extraction,12520
212_Mining_except_oil_and_gas,9673
213_Support_activities_for_mining,2783
22_Utilities,28753
23_Construction,96275
311FT_Food_and_beverage_and_tobacco_products,94665
313TT_Textile_mills_and_textile_product_mills,24272
315AL_Apparel_and_leather_and_allied_products,28521
321_Wood_products,11534
322_Paper_products,22431
323_Printing_and_related_support_activities,10812
324_Petroleum_and_coal_products,23072
325_Chemical_products,44650
326_Plastics_and_rubber_products,14346
327_Nonmetallic_mineral_products,15148
331_Primary_metals,46515
332_Fabricated_metal_products,44813
333_Machinery,41349
334_Computer_and_electronic_products,37783
335_Electrical_equipment_appliances_and_components,21527
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,63623
3364OT_Other_transportation_equipment,35784
337_Furniture_and_related_products,8573
339_Miscellaneous_manufacturing,13728
42_Wholesale_trade,73693
44RT_Retail_trade,106042
48_Transportation,59974
493_Warehousing_and_storage,2484
51_Information,52737
52_Finance_and_insurance,66048
531_Real_estate,105147
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,8735
54_Professional_scientific_and_technical_services,37386
55_Management_of_companies_and_enterprises,19417
56_Administrative_and_waste_management_services,13492
61_Educational_services,10421
62_Health_care_and_social_assistance,37839
71_Arts_entertainment_and_recreation,8475
721_Accommodation,8777
722_Food_services_and_drinking_places,30785
81_Other_services_except_government,39864
GFE_Federal_government_enterprises,8930
GFG_Federal_general_government,101475
GSLE_State_and_local_government_enterprises,10671
GSLG_State_and_local_general_government,81893
