industry,T008_Total_Industry_Output
111CA_Farms,215813
113FF_Forestry_fishing_and_related_activities,39827
211_Oil_and_gas_extraction,96113
212_Mining_except_oil_and_gas,55241
213_Support_activities_for_mining,16504
22_Utilities,255545
23_Construction,666762
311FT_Food_and_beverage_and_tobacco_products,508773
313TT_Textile_mills_and_textile_product_mills,85937
315AL_Apparel_and_leather_and_allied_products,83641
321_Wood_products,83304
322_Paper_products,152746
323_Printing_and_related_support_activities,95927
324_Petroleum_and_coal_products,171530
325_Chemical_products,387736
326_Plastics_and_rubber_products,150361
327_Nonmetallic_mineral_products,81810
331_Primary_metals,161357
332_Fabricated_metal_products,230384
333_Machinery,254603
334_Computer_and_electronic_products,416988
335_Electrical_equipment_appliances_and_components,106467
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,397396
3364OT_Other_transportation_equipment,136822
337_Furniture_and_related_products,56999
339_Miscellaneous_manufacturing,105156
42_Wholesale_trade,711890
44RT_Retail_trade,824374
48_Transportation,447988
493_Warehousing_and_storage,23638
51_Information,662374
52_Finance_and_insurance,918919
531_Real_estate,1190727
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,139587
54_Professional_scientific_and_technical_services,695855
55_Management_of_companies_and_enterprises,179780
56_Administrative_and_waste_management_services,315411
61_Educational_services,108490
62_Health_care_and_social_assistance,775695
71_Arts_entertainment_and_recreation,118554
721_Accommodation,109195
722_Food_services_and_drinking_places,288337
81_Other_services_except_government,339888
GFE_Federal_government_enterprises,73658
GFG_Federal_general_government,456950
GSLE_State_and_local_government_enterprises,123988
GSLG_State_and_local_general_government,944365
