industry,T008_Total_Industry_Output
111CA_Farms,44628
113FF_Forestry_fishing_and_related_activities,5547
211_Oil_and_gas_extraction,11119
212_Mining_except_oil_and_gas,9215
213_Support_activities_for_mining,2667
22_Utilities,25807
23_Construction,83209
311FT_Food_and_beverage_and_tobacco_products,87267
313TT_Textile_mills_and_textile_product_mills,21915
315AL_Apparel_and_leather_and_allied_products,25407
321_Wood_products,9551
322_Paper_products,20378
323_Printing_and_related_support_activities,9433
324_Petroleum_and_coal_products,20635
325_Chemical_products,40277
326_Plastics_and_rubber_products,11991
327_Nonmetallic_mineral_products,14014
331_Primary_metals,45334
332_Fabricated_metal_products,36902
333_Machinery,37876
334_Computer_and_electronic_products,33497
335_Electrical_equipment_appliances_and_components,19680
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,60378
3364OT_Other_transportation_equipment,28317
337_Furniture_and_related_products,7689
339_Miscellaneous_manufacturing,11892
42_Wholesale_trade,67326
44RT_Retail_trade,97037
48_Transportation,52613
493_Warehousing_and_storage,2284
51_Information,45179
52_Finance_and_insurance,54857
531_Real_estate,90450
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,7347
54_Professional_scientific_and_technical_services,32549
55_Management_of_companies_and_enterprises,16901
56_Administrative_and_waste_management_services,11408
61_Educational_services,8514
62_Health_care_and_social_assistance,29960
71_Arts_entertainment_and_recreation,7370
721_Accommodation,6826
722_Food_services_and_drinking_places,26535
81_Other_services_except_government,34851
GFE_Federal_government_enterprises,7090
GFG_Federal_general_government,81218
GSLE_State_and_local_government_enterprises,9094
GSLG_State_and_local_general_government,65128
