industry,T008_Total_Industry_Output
111CA_Farms,91298
113FF_Forestry_fishing_and_related_activities,13479
211_Oil_and_gas_extraction,17199
212_Mining_except_oil_and_gas,15646
213_Support_activities_for_mining,3783
22_Utilities,43341
23_Construction,163227
311FT_Food_and_beverage_and_tobacco_products,142636
313TT_Textile_mills_and_textile_product_mills,34047
315AL_Apparel_and_leather_and_allied_products,34265
321_Wood_products,22877
322_Paper_products,32578
323_Printing_and_related_support_activities,15794
324_Petroleum_and_coal_products,32709
325_Chemical_products,63076
326_Plastics_and_rubber_products,24439
327_Nonmetallic_mineral_products,22719
331_Primary_metals,68342
332_Fabricated_metal_products,59817
333_Machinery,63119
334_Computer_and_electronic_products,49641
335_Electrical_equipment_appliances_and_components,29887
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,93959
3364OT_Other_transportation_equipment,41098
337_Furniture_and_related_products,13377
339_Miscellaneous_manufacturing,19693
42_Wholesale_trade,110585
44RT_Retail_trade,148841
48_Transportation,92868
493_Warehousing_and_storage,3798
51_Information,83258
52_Finance_and_insurance,104460
531_Real_estate,162677
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,15786
54_Professional_scientific_and_technical_services,62150
55_Management_of_companies_and_enterprises,27597
56_Administrative_and_waste_management_services,22453
61_Educational_services,16373
62_Health_care_and_social_assistance,68438
71_Arts_entertainment_and_recreation,13122
721_Accommodation,13579
722_Food_services_and_drinking_places,49428
81_Other_services_except_government,51412
GFE_Federal_government_enterprises,12327
GFG_Federal_general_government,122207
GSLE_State_and_local_government_enterprises,16930
GSLG_State_and_local_general_government,145687
