industry,T008_Total_Industry_Output
111CA_Farms,91988
113FF_Forestry_fishing_and_related_activities,14597
211_Oil_and_gas_extraction,27588
212_Mining_except_oil_and_gas,23674
213_Support_activities_for_mining,5865
22_Utilities,52607
23_Construction,163790
311FT_Food_and_beverage_and_tobacco_products,168492
313TT_Textile_mills_and_textile_product_mills,36243
315AL_Apparel_and_leather_and_allied_products,34947
321_Wood_products,24334
322_Paper_products,40331
323_Printing_and_related_support_activities,17582
324_Petroleum_and_coal_products,55688
325_Chemical_products,81635
326_Plastics_and_rubber_products,28362
327_Nonmetallic_mineral_products,25075
331_Primary_metals,89659
332_Fabricated_metal_products,70462
333_Machinery,74241
334_Computer_and_electronic_products,55132
335_Electrical_equipment_appliances_and_components,33624
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,86994
3364OT_Other_transportation_equipment,46073
337_Furniture_and_related_products,13894
339_Miscellaneous_manufacturing,21676
42_Wholesale_trade,128685
44RT_Retail_trade,168207
48_Transportation,104902
493_Warehousing_and_storage,4253
51_Information,91497
52_Finance_and_insurance,114947
531_Real_estate,177579
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,16615
54_Professional_scientific_and_technical_services,68077
55_Management_of_companies_and_enterprises,29951
56_Administrative_and_waste_management_services,25205
61_Educational_services,17688
62_Health_care_and_social_assistance,77085
71_Arts_entertainment_and_recreation,14909
721_Accommodation,14436
722_Food_services_and_drinking_places,53861
81_Other_services_except_government,55298
GFE_Federal_government_enterprises,14769
GFG_Federal_general_government,131690
GSLE_State_and_local_government_enterprises,18211
GSLG_State_and_local_general_government,165334
