industry,Total_Industry_Output
111CA_Farms,147055
113FF_Forestry_fishing_and_related_activities,28046
211_Oil_and_gas_extraction,75629
212_Mining_except_oil_and_gas,43768
213_Support_activities_for_mining,14570
22_Utilities,183104
23_Construction,493853
311FT_Food_and_beverage_and_tobacco_products,348074
313TT_Textile_mills_and_textile_product_mills,67660
315AL_Apparel_and_leather_and_allied_products,66546
321_Wood_products,54442
322_Paper_products,104141
323_Printing_and_related_support_activities,66379
324_Petroleum_and_coal_products,130052
325_Chemical_products,241717
326_Plastics_and_rubber_products,88617
327_Nonmetallic_mineral_products,61256
331_Primary_metals,110178
332_Fabricated_metal_products,148435
333_Machinery,150673
334_Computer_and_electronic_products,224993
335_Electrical_equipment_appliances_and_components,72296
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,245648
3364OT_Other_transportation_equipment,131703
337_Furniture_and_related_products,41466
339_Miscellaneous_manufacturing,58364
42_Wholesale_trade,412007
44RT_Retail_trade,514321
48_Transportation,273530
493_Warehousing_and_storage,12123
51_Information,350733
52_Finance_and_insurance,527638
531_Real_estate,662350
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,66584
54_Professional_scientific_and_technical_services,332692
55_Management_of_companies_and_enterprises,104542
56_Administrative_and_waste_management_services,130825
61_Educational_services,56669
62_Health_care_and_social_assistance,382273
71_Arts_entertainment_and_recreation,49394
721_Accommodation,61209
722_Food_services_and_drinking_places,176548
81_Other_services_except_government,190449
GFE_Federal_government_enterprises,44654
GFG_Federal_general_government,371260
GSLE_State_and_local_government_enterprises,69569
GSLG_State_and_local_general_government,519465
