industry,Total_Industry_Output
111CA_Farms,140461
113FF_Forestry_fishing_and_related_activities,25099
211_Oil_and_gas_extraction,62123
212_Mining_except_oil_and_gas,43293
213_Support_activities_for_mining,20798
22_Utilities,114981
23_Construction,287146
311FT_Food_and_beverage_and_tobacco_products,239939
313TT_Textile_mills_and_textile_product_mills,49951
315AL_Apparel_and_leather_and_allied_products,47419
321_Wood_products,37404
322_Paper_products,63926
323_Printing_and_related_support_activities,30753
324_Petroleum_and_coal_products,145585
325_Chemical_products,143251
326_Plastics_and_rubber_products,48282
327_Nonmetallic_mineral_products,43633
331_Primary_metals,131983
332_Fabricated_metal_products,121046
333_Machinery,125404
334_Computer_and_electronic_products,105382
335_Electrical_equipment_appliances_and_components,51814
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,160772
3364OT_Other_transportation_equipment,79721
337_Furniture_and_related_products,23001
339_Miscellaneous_manufacturing,35006
42_Wholesale_trade,236072
44RT_Retail_trade,261973
48_Transportation,176697
493_Warehousing_and_storage,7356
51_Information,162976
52_Finance_and_insurance,206676
531_Real_estate,307967
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,28755
54_Professional_scientific_and_technical_services,123387
55_Management_of_companies_and_enterprises,52253
56_Administrative_and_waste_management_services,50750
61_Educational_services,27903
62_Health_care_and_social_assistance,151331
71_Arts_entertainment_and_recreation,25346
721_Accommodation,26195
722_Food_services_and_drinking_places,95367
81_Other_services_except_government,93586
GFE_Federal_government_enterprises,24416
GFG_Federal_general_government,191226
GSLE_State_and_local_government_enterprises,30347
GSLG_State_and_local_general_government,266740
