industry,T008_Total_Industry_Output
111CA_Farms,35738
113FF_Forestry_fishing_and_related_activities,2617
211_Oil_and_gas_extraction,8525
212_Mining_except_oil_and_gas,6732
213_Support_activities_for_mining,3753
22_Utilities,17646
23_Construction,53587
311FT_Food_and_beverage_and_tobacco_products,65976
313TT_Textile_mills_and_textile_product_mills,14277
315AL_Apparel_and_leather_and_allied_products,18732
321_Wood_products,7319
322_Paper_products,12433
323_Printing_and_related_support_activities,9588
324_Petroleum_and_coal_products,16910
325_Chemical_products,21354
326_Plastics_and_rubber_products,6914
327_Nonmetallic_mineral_products,8632
331_Primary_metals,24475
332_Fabricated_metal_products,22266
333_Machinery,17950
334_Computer_and_electronic_products,13777
335_Electrical_equipment_appliances_and_components,9143
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,28490
3364OT_Other_transportation_equipment,18818
337_Furniture_and_related_products,5343
339_Miscellaneous_manufacturing,7126
42_Wholesale_trade,35946
44RT_Retail_trade,63022
48_Transportation,32931
493_Warehousing_and_storage,1258
51_Information,25730
52_Finance_and_insurance,27895
531_Real_estate,56559
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,4964
54_Professional_scientific_and_technical_services,15411
55_Management_of_companies_and_enterprises,9928
56_Administrative_and_waste_management_services,5648
61_Educational_services,3693
62_Health_care_and_social_assistance,14370
71_Arts_entertainment_and_recreation,3846
721_Accommodation,3523
722_Food_services_and_drinking_places,17664
81_Other_services_except_government,20852
GFE_Federal_government_enterprises,4089
GFG_Federal_general_government,55191
GSLE_State_and_local_government_enterprises,3881
GSLG_State_and_local_general_government,32943
