industry,Total_Industry_Output
111CA_Farms,55438
113FF_Forestry_fishing_and_related_activities,8903
211_Oil_and_gas_extraction,14896
212_Mining_except_oil_and_gas,12150
213_Support_activities_for_mining,2878
22_Utilities,35324
23_Construction,128654
311FT_Food_and_beverage_and_tobacco_products,110946
313TT_Textile_mills_and_textile_product_mills,26119
315AL_Apparel_and_leather_and_allied_products,30904
321_Wood_products,15317
322_Paper_products,25618
323_Printing_and_related_support_activities,12608
324_Petroleum_and_coal_products,25416
325_Chemical_products,49681
326_Plastics_and_rubber_products,17460
327_Nonmetallic_mineral_products,17836
331_Primary_metals,48979
332_Fabricated_metal_products,46481
333_Machinery,46134
334_Computer_and_electronic_products,39066
335_Electrical_equipment_appliances_and_components,23153
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,74115
3364OT_Other_transportation_equipment,34211
337_Furniture_and_related_products,9815
339_Miscellaneous_manufacturing,15466
42_Wholesale_trade,90518
44RT_Retail_trade,126626
481_Air_transportation,11782
482_Rail_transportation,15123
483_Water_transportation,4510
484_Truck_transportation,23568
485_Transit_and_ground_passenger_transportation,6665
486_Pipeline_transportation,3153
487OS_Other_transportation_and_support_activities,12394
493_Warehousing_and_storage,3176
511_Publishing_industries_except_internet_includes_software,17509
512_Motion_picture_and_sound_recording_industries,7676
513_Broadcasting_and_telecommunications,38325
514_Data_processing_internet_publishing_and_other_information_services,3264
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,42638
523_Securities_commodity_contracts_and_investments,6630
524_Insurance_carriers_and_related_activities,34214
525_Funds_trusts_and_other_financial_vehicles,4110
531_Real_estate,135736
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,12579
5411_Legal_services,14436
5412OP_Miscellaneous_professional_scientific_and_technical_services,31242
5415_Computer_systems_design_and_related_services,3858
55_Management_of_companies_and_enterprises,22861
561_Administrative_and_support_services,12901
562_Waste_management_and_remediation_services,4637
61_Educational_services,13882
621_Ambulatory_health_care_services,24177
622HO_Hospitals_and_nursing_and_residential_care_facilities,27316
624_Social_assistance,3274
711AS_Performing_arts_spectator_sports_museums_and_related_activities,5723
713_Amusements_gambling_and_recreation_industries,5022
721_Accommodation,10135
722_Food_services_and_drinking_places,39883
81_Other_services_except_government,45917
GFE_Federal_government_enterprises,10618
GFG_Federal_general_government,112466
GSLE_State_and_local_government_enterprises,13759
GSLG_State_and_local_general_government,119430
