industry,T008_Total_Industry_Output
111CA_Farms,32167
113FF_Forestry_fishing_and_related_activities,2408
211_Oil_and_gas_extraction,7136
212_Mining_except_oil_and_gas,7131
213_Support_activities_for_mining,3730
22_Utilities,12651
23_Construction,44038
311FT_Food_and_beverage_and_tobacco_products,58287
313TT_Textile_mills_and_textile_product_mills,13698
315AL_Apparel_and_leather_and_allied_products,16179
321_Wood_products,7424
322_Paper_products,11007
323_Printing_and_related_support_activities,5223
324_Petroleum_and_coal_products,13872
325_Chemical_products,16302
326_Plastics_and_rubber_products,3726
327_Nonmetallic_mineral_products,5924
331_Primary_metals,22800
332_Fabricated_metal_products,20323
333_Machinery,14465
334_Computer_and_electronic_products,7656
335_Electrical_equipment_appliances_and_components,6866
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,28204
3364OT_Other_transportation_equipment,14287
337_Furniture_and_related_products,3686
339_Miscellaneous_manufacturing,7358
42_Wholesale_trade,29855
44RT_Retail_trade,52909
48_Transportation,29423
493_Warehousing_and_storage,992
51_Information,19545
52_Finance_and_insurance,21565
531_Real_estate,44797
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,3632
54_Professional_scientific_and_technical_services,10664
55_Management_of_companies_and_enterprises,8262
56_Administrative_and_waste_management_services,3966
61_Educational_services,2548
62_Health_care_and_social_assistance,10058
71_Arts_entertainment_and_recreation,3384
721_Accommodation,2983
722_Food_services_and_drinking_places,15496
81_Other_services_except_government,15667
GFE_Federal_government_enterprises,3361
GFG_Federal_general_government,48709
GSLE_State_and_local_government_enterprises,2931
GSLG_State_and_local_general_government,22597
