industry,T008_Total_Industry_Output
111CA_Farms,49499
113FF_Forestry_fishing_and_related_activities,7703
211_Oil_and_gas_extraction,13424
212_Mining_except_oil_and_gas,10624
213_Support_activities_for_mining,3040
22_Utilities,30486
23_Construction,105354
311FT_Food_and_beverage_and_tobacco_products,100694
313TT_Textile_mills_and_textile_product_mills,25059
315AL_Apparel_and_leather_and_allied_products,30174
321_Wood_products,13108
322_Paper_products,24679
323_Printing_and_related_support_activities,11798
324_Petroleum_and_coal_products,23876
325_Chemical_products,46758
326_Plastics_and_rubber_products,15752
327_Nonmetallic_mineral_products,16164
331_Primary_metals,51051
332_Fabricated_metal_products,47484
333_Machinery,45033
334_Computer_and_electronic_products,40201
335_Electrical_equipment_appliances_and_components,23009
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,66125
3364OT_Other_transportation_equipment,37086
337_Furniture_and_related_products,9326
339_Miscellaneous_manufacturing,14879
42_Wholesale_trade,78502
44RT_Retail_trade,112004
481_Air_transportation,10177
482_Rail_transportation,13758
483_Water_transportation,4347
484_Truck_transportation,20235
485_Transit_and_ground_passenger_transportation,5496
486_Pipeline_transportation,2553
487OS_Other_transportation_and_support_activities,10806
493_Warehousing_and_storage,2808
511_Publishing_industries_except_internet_includes_software,15932
512_Motion_picture_and_sound_recording_industries,6987
513_Broadcasting_and_telecommunications,32695
514_Data_processing_internet_publishing_and_other_information_services,2514
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,35005
523_Securities_commodity_contracts_and_investments,6003
524_Insurance_carriers_and_related_activities,29816
525_Funds_trusts_and_other_financial_vehicles,3284
531_Real_estate,114198
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,9626
5411_Legal_services,11054
5412OP_Miscellaneous_professional_scientific_and_technical_services,27165
5415_Computer_systems_design_and_related_services,3561
55_Management_of_companies_and_enterprises,20687
561_Administrative_and_support_services,11206
562_Waste_management_and_remediation_services,3902
61_Educational_services,11475
621_Ambulatory_health_care_services,20196
622HO_Hospitals_and_nursing_and_residential_care_facilities,20651
624_Social_assistance,2465
711AS_Performing_arts_spectator_sports_museums_and_related_activities,4893
713_Amusements_gambling_and_recreation_industries,4390
721_Accommodation,9466
722_Food_services_and_drinking_places,33460
81_Other_services_except_government,41711
GFE_Federal_government_enterprises,9549
GFG_Federal_general_government,105619
GSLE_State_and_local_government_enterprises,11619
GSLG_State_and_local_general_government,92702
