commodity,F010_Personal_consumption_expenditures
111CA_Farms,4953
113FF_Forestry_fishing_and_related_activities,434
211_Oil_and_gas_extraction,0
212_Mining_except_oil_and_gas,7
213_Support_activities_for_mining,0
22_Utilities,12098
23_Construction,0
311FT_Food_and_beverage_and_tobacco_products,49186
313TT_Textile_mills_and_textile_product_mills,3565
315AL_Apparel_and_leather_and_allied_products,16986
321_Wood_products,146
322_Paper_products,1222
323_Printing_and_related_support_activities,278
324_Petroleum_and_coal_products,8601
325_Chemical_products,7498
326_Plastics_and_rubber_products,1496
327_Nonmetallic_mineral_products,602
331_Primary_metals,90
332_Fabricated_metal_products,831
333_Machinery,713
334_Computer_and_electronic_products,2358
335_Electrical_equipment_appliances_and_components,3503
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,17380
3364OT_Other_transportation_equipment,634
337_Furniture_and_related_products,3300
339_Miscellaneous_manufacturing,3927
42_Wholesale_trade,17466
44RT_Retail_trade,73550
481_Air_transportation,3058
482_Rail_transportation,1915
483_Water_transportation,478
484_Truck_transportation,2413
485_Transit_and_ground_passenger_transportation,2326
486_Pipeline_transportation,138
487OS_Other_transportation_and_support_activities,130
493_Warehousing_and_storage,21
511_Publishing_industries_except_internet_includes_software,3267
512_Motion_picture_and_sound_recording_industries,1722
513_Broadcasting_and_telecommunications,7451
514_Data_processing_internet_publishing_and_other_information_services,0
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,4750
523_Securities_commodity_contracts_and_investments,2473
524_Insurance_carriers_and_related_activities,10611
525_Funds_trusts_and_other_financial_vehicles,932
531_Real_estate,63352
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,1535
5411_Legal_services,3038
5412OP_Miscellaneous_professional_scientific_and_technical_services,1691
5415_Computer_systems_design_and_related_services,0
55_Management_of_companies_and_enterprises,0
561_Administrative_and_support_services,2059
562_Waste_management_and_remediation_services,264
61_Educational_services,6271
621_Ambulatory_health_care_services,14724
622HO_Hospitals_and_nursing_and_residential_care_facilities,11975
624_Social_assistance,1449
711AS_Performing_arts_spectator_sports_museums_and_related_activities,1876
713_Amusements_gambling_and_recreation_industries,2685
721_Accommodation,2604
722_Food_services_and_drinking_places,23724
81_Other_services_except_government,27712
GFE_Federal_government_enterprises,1018
GFG_Federal_general_government,0
GSLE_State_and_local_government_enterprises,1059
GSLG_State_and_local_general_government,0
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,1600
T005_Total_Intermediate,0
