commodity,F010_Personal_consumption_expenditures
111CA_Farms,5094
113FF_Forestry_fishing_and_related_activities,266
211_Oil_and_gas_extraction,0
212_Mining_except_oil_and_gas,109
213_Support_activities_for_mining,0
22_Utilities,9693
23_Construction,0
311FT_Food_and_beverage_and_tobacco_products,43490
313TT_Textile_mills_and_textile_product_mills,2632
315AL_Apparel_and_leather_and_allied_products,14950
321_Wood_products,159
322_Paper_products,1141
323_Printing_and_related_support_activities,268
324_Petroleum_and_coal_products,7155
325_Chemical_products,6054
326_Plastics_and_rubber_products,1274
327_Nonmetallic_mineral_products,435
331_Primary_metals,55
332_Fabricated_metal_products,596
333_Machinery,605
334_Computer_and_electronic_products,1569
335_Electrical_equipment_appliances_and_components,3019
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,9982
3364OT_Other_transportation_equipment,417
337_Furniture_and_related_products,2545
339_Miscellaneous_manufacturing,3247
42_Wholesale_trade,11923
44RT_Retail_trade,54451
48_Transportation,8334
493_Warehousing_and_storage,15
51_Information,9607
52_Finance_and_insurance,14251
531_Real_estate,49686
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,1307
54_Professional_scientific_and_technical_services,3030
55_Management_of_companies_and_enterprises,0
56_Administrative_and_waste_management_services,1809
61_Educational_services,4287
62_Health_care_and_social_assistance,18461
71_Arts_entertainment_and_recreation,3334
721_Accommodation,1932
722_Food_services_and_drinking_places,18291
81_Other_services_except_government,22205
GFE_Federal_government_enterprises,721
GFG_Federal_general_government,0
GSLE_State_and_local_government_enterprises,772
GSLG_State_and_local_general_government,0
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,1373
Used_Scrap_used_and_secondhand_goods,930
