commodity,F010_Personal_consumption_expenditures
111CA_Farms,5576
113FF_Forestry_fishing_and_related_activities,149
211_Oil_and_gas_extraction,0
212_Mining_except_oil_and_gas,534
213_Support_activities_for_mining,0
22_Utilities,6582
23_Construction,0
311FT_Food_and_beverage_and_tobacco_products,37993
313TT_Textile_mills_and_textile_product_mills,2384
315AL_Apparel_and_leather_and_allied_products,14009
321_Wood_products,217
322_Paper_products,1090
323_Printing_and_related_support_activities,248
324_Petroleum_and_coal_products,5435
325_Chemical_products,4516
326_Plastics_and_rubber_products,1118
327_Nonmetallic_mineral_products,334
331_Primary_metals,44
332_Fabricated_metal_products,546
333_Machinery,624
334_Computer_and_electronic_products,1305
335_Electrical_equipment_appliances_and_components,2871
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,9848
3364OT_Other_transportation_equipment,281
337_Furniture_and_related_products,2508
339_Miscellaneous_manufacturing,3397
42_Wholesale_trade,8504
44RT_Retail_trade,42371
48_Transportation,7544
493_Warehousing_and_storage,7
51_Information,7346
52_Finance_and_insurance,9938
531_Real_estate,35529
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,1287
54_Professional_scientific_and_technical_services,1855
55_Management_of_companies_and_enterprises,0
56_Administrative_and_waste_management_services,1249
61_Educational_services,2766
62_Health_care_and_social_assistance,11976
71_Arts_entertainment_and_recreation,2350
721_Accommodation,1565
722_Food_services_and_drinking_places,15426
81_Other_services_except_government,16828
GFE_Federal_government_enterprises,569
GFG_Federal_general_government,0
GSLE_State_and_local_government_enterprises,660
GSLG_State_and_local_general_government,0
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,1104
Used_Scrap_used_and_secondhand_goods,641
