commodity,F010_Personal_consumption_expenditures
111CA_Farms,15192
113FF_Forestry_fishing_and_related_activities,1707
211_Oil_and_gas_extraction,0
212_Mining_except_oil_and_gas,27
213_Support_activities_for_mining,0
22_Utilities,61663
23_Construction,0
311FT_Food_and_beverage_and_tobacco_products,156530
313TT_Textile_mills_and_textile_product_mills,8536
315AL_Apparel_and_leather_and_allied_products,49219
321_Wood_products,568
322_Paper_products,4817
323_Printing_and_related_support_activities,866
324_Petroleum_and_coal_products,62518
325_Chemical_products,28510
326_Plastics_and_rubber_products,7043
327_Nonmetallic_mineral_products,2303
331_Primary_metals,350
332_Fabricated_metal_products,3518
333_Machinery,2699
334_Computer_and_electronic_products,9056
335_Electrical_equipment_appliances_and_components,11332
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,45666
3364OT_Other_transportation_equipment,4035
337_Furniture_and_related_products,10272
339_Miscellaneous_manufacturing,16784
42_Wholesale_trade,58360
44RT_Retail_trade,266311
481_Air_transportation,17020
482_Rail_transportation,4015
483_Water_transportation,2188
484_Truck_transportation,9839
485_Transit_and_ground_passenger_transportation,6544
486_Pipeline_transportation,488
487OS_Other_transportation_and_support_activities,622
493_Warehousing_and_storage,141
511_Publishing_industries_except_internet_includes_software,13959
512_Motion_picture_and_sound_recording_industries,5554
513_Broadcasting_and_telecommunications,34137
514_Data_processing_internet_publishing_and_other_information_services,0
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,28964
523_Securities_commodity_contracts_and_investments,8350
524_Insurance_carriers_and_related_activities,43859
525_Funds_trusts_and_other_financial_vehicles,10368
531_Real_estate,246366
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5064
5411_Legal_services,13174
5412OP_Miscellaneous_professional_scientific_and_technical_services,7918
5415_Computer_systems_design_and_related_services,0
55_Management_of_companies_and_enterprises,0
561_Administrative_and_support_services,5834
562_Waste_management_and_remediation_services,1261
61_Educational_services,28814
621_Ambulatory_health_care_services,71065
622HO_Hospitals_and_nursing_and_residential_care_facilities,104488
624_Social_assistance,12710
711AS_Performing_arts_spectator_sports_museums_and_related_activities,7487
713_Amusements_gambling_and_recreation_industries,13878
721_Accommodation,12414
722_Food_services_and_drinking_places,105106
81_Other_services_except_government,89011
GFE_Federal_government_enterprises,3501
GFG_Federal_general_government,0
GSLE_State_and_local_government_enterprises,5585
GSLG_State_and_local_general_government,0
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,-1560
Used_Scrap_used_and_secondhand_goods,4621
