commodity,F010_Personal_consumption_expenditures
111CA_Farms,17626
113FF_Forestry_fishing_and_related_activities,2044
211_Oil_and_gas_extraction,0
212_Mining_except_oil_and_gas,33
213_Support_activities_for_mining,0
22_Utilities,79213
23_Construction,0
311FT_Food_and_beverage_and_tobacco_products,181684
313TT_Textile_mills_and_textile_product_mills,9733
315AL_Apparel_and_leather_and_allied_products,58761
321_Wood_products,674
322_Paper_products,6190
323_Printing_and_related_support_activities,1082
324_Petroleum_and_coal_products,69188
325_Chemical_products,35324
326_Plastics_and_rubber_products,8652
327_Nonmetallic_mineral_products,2607
331_Primary_metals,403
332_Fabricated_metal_products,4293
333_Machinery,3138
334_Computer_and_electronic_products,10708
335_Electrical_equipment_appliances_and_components,12224
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,55101
3364OT_Other_transportation_equipment,4384
337_Furniture_and_related_products,11006
339_Miscellaneous_manufacturing,20118
42_Wholesale_trade,62910
44RT_Retail_trade,281523
481_Air_transportation,19342
482_Rail_transportation,4391
483_Water_transportation,2191
484_Truck_transportation,11082
485_Transit_and_ground_passenger_transportation,7352
486_Pipeline_transportation,560
487OS_Other_transportation_and_support_activities,705
493_Warehousing_and_storage,167
511_Publishing_industries_except_internet_includes_software,16762
512_Motion_picture_and_sound_recording_industries,6571
513_Broadcasting_and_telecommunications,43844
514_Data_processing_internet_publishing_and_other_information_services,0
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,36771
523_Securities_commodity_contracts_and_investments,11168
524_Insurance_carriers_and_related_activities,54267
525_Funds_trusts_and_other_financial_vehicles,11300
531_Real_estate,302850
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5947
5411_Legal_services,17227
5412OP_Miscellaneous_professional_scientific_and_technical_services,9715
5415_Computer_systems_design_and_related_services,0
55_Management_of_companies_and_enterprises,0
561_Administrative_and_support_services,6822
562_Waste_management_and_remediation_services,1575
61_Educational_services,35624
621_Ambulatory_health_care_services,91191
622HO_Hospitals_and_nursing_and_residential_care_facilities,138803
624_Social_assistance,15463
711AS_Performing_arts_spectator_sports_museums_and_related_activities,8968
713_Amusements_gambling_and_recreation_industries,18425
721_Accommodation,15106
722_Food_services_and_drinking_places,122391
81_Other_services_except_government,101777
GFE_Federal_government_enterprises,4678
GFG_Federal_general_government,0
GSLE_State_and_local_government_enterprises,7242
GSLG_State_and_local_general_government,0
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,-4338
T005_Total_Intermediate,0
