commodity,F010_Personal_consumption_expenditures
111CA_Farms,20075
113FF_Forestry_fishing_and_related_activities,2475
211_Oil_and_gas_extraction,0
212_Mining_except_oil_and_gas,45
213_Support_activities_for_mining,0
22_Utilities,97801
23_Construction,0
311FT_Food_and_beverage_and_tobacco_products,216023
313TT_Textile_mills_and_textile_product_mills,15090
315AL_Apparel_and_leather_and_allied_products,77829
321_Wood_products,725
322_Paper_products,7754
323_Printing_and_related_support_activities,1524
324_Petroleum_and_coal_products,52491
325_Chemical_products,50721
326_Plastics_and_rubber_products,10032
327_Nonmetallic_mineral_products,3440
331_Primary_metals,502
332_Fabricated_metal_products,5059
333_Machinery,4316
334_Computer_and_electronic_products,18822
335_Electrical_equipment_appliances_and_components,16397
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,110030
3364OT_Other_transportation_equipment,6112
337_Furniture_and_related_products,17130
339_Miscellaneous_manufacturing,28322
42_Wholesale_trade,88109
44RT_Retail_trade,378197
481_Air_transportation,27167
482_Rail_transportation,5102
483_Water_transportation,2698
484_Truck_transportation,16848
485_Transit_and_ground_passenger_transportation,8937
486_Pipeline_transportation,628
487OS_Other_transportation_and_support_activities,1635
493_Warehousing_and_storage,274
511_Publishing_industries_except_internet_includes_software,21560
512_Motion_picture_and_sound_recording_industries,9653
513_Broadcasting_and_telecommunications,64821
514_Data_processing_internet_publishing_and_other_information_services,0
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,69154
523_Securities_commodity_contracts_and_investments,23726
524_Insurance_carriers_and_related_activities,72796
525_Funds_trusts_and_other_financial_vehicles,21666
531_Real_estate,430643
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,13484
5411_Legal_services,27334
5412OP_Miscellaneous_professional_scientific_and_technical_services,14300
5415_Computer_systems_design_and_related_services,0
55_Management_of_companies_and_enterprises,0
561_Administrative_and_support_services,10008
562_Waste_management_and_remediation_services,2533
61_Educational_services,49672
621_Ambulatory_health_care_services,145773
622HO_Hospitals_and_nursing_and_residential_care_facilities,193787
624_Social_assistance,23935
711AS_Performing_arts_spectator_sports_museums_and_related_activities,11997
713_Amusements_gambling_and_recreation_industries,25913
721_Accommodation,22441
722_Food_services_and_drinking_places,160299
81_Other_services_except_government,150206
GFE_Federal_government_enterprises,5961
GFG_Federal_general_government,0
GSLE_State_and_local_government_enterprises,13766
GSLG_State_and_local_general_government,0
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,-5834
Used_Scrap_used_and_secondhand_goods,14367
