commodity,F010_Personal_consumption_expenditures
111CA_Farms,21924
113FF_Forestry_fishing_and_related_activities,2846
211_Oil_and_gas_extraction,0
212_Mining_except_oil_and_gas,49
213_Support_activities_for_mining,0
22_Utilities,106757
23_Construction,0
311FT_Food_and_beverage_and_tobacco_products,232307
313TT_Textile_mills_and_textile_product_mills,17289
315AL_Apparel_and_leather_and_allied_products,87800
321_Wood_products,777
322_Paper_products,8503
323_Printing_and_related_support_activities,1691
324_Petroleum_and_coal_products,55648
325_Chemical_products,58643
326_Plastics_and_rubber_products,10749
327_Nonmetallic_mineral_products,3853
331_Primary_metals,588
332_Fabricated_metal_products,5773
333_Machinery,4679
334_Computer_and_electronic_products,23266
335_Electrical_equipment_appliances_and_components,17721
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,114291
3364OT_Other_transportation_equipment,6559
337_Furniture_and_related_products,18998
339_Miscellaneous_manufacturing,34225
42_Wholesale_trade,98057
44RT_Retail_trade,435605
481_Air_transportation,33671
482_Rail_transportation,5192
483_Water_transportation,3357
484_Truck_transportation,18820
485_Transit_and_ground_passenger_transportation,10064
486_Pipeline_transportation,573
487OS_Other_transportation_and_support_activities,2068
493_Warehousing_and_storage,233
511_Publishing_industries_except_internet_includes_software,25549
512_Motion_picture_and_sound_recording_industries,11500
513_Broadcasting_and_telecommunications,72908
514_Data_processing_internet_publishing_and_other_information_services,25
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,67781
523_Securities_commodity_contracts_and_investments,23143
524_Insurance_carriers_and_related_activities,85394
525_Funds_trusts_and_other_financial_vehicles,26242
531_Real_estate,497386
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,16523
5411_Legal_services,34712
5412OP_Miscellaneous_professional_scientific_and_technical_services,17446
5415_Computer_systems_design_and_related_services,0
55_Management_of_companies_and_enterprises,0
561_Administrative_and_support_services,12289
562_Waste_management_and_remediation_services,3193
61_Educational_services,59960
621_Ambulatory_health_care_services,190434
622HO_Hospitals_and_nursing_and_residential_care_facilities,230999
624_Social_assistance,31152
711AS_Performing_arts_spectator_sports_museums_and_related_activities,13742
713_Amusements_gambling_and_recreation_industries,31273
721_Accommodation,28087
722_Food_services_and_drinking_places,194135
81_Other_services_except_government,181644
GFE_Federal_government_enterprises,6709
GFG_Federal_general_government,0
GSLE_State_and_local_government_enterprises,16978
GSLG_State_and_local_general_government,0
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,-9156
Used_Scrap_used_and_secondhand_goods,17388
