commodity,F010_Personal_consumption_expenditures
111CA_Farms,4926
113FF_Forestry_fishing_and_related_activities,101
211_Oil_and_gas_extraction,0
212_Mining_except_oil_and_gas,932
213_Support_activities_for_mining,0
22_Utilities,3224
23_Construction,0
311FT_Food_and_beverage_and_tobacco_products,28199
313TT_Textile_mills_and_textile_product_mills,2036
315AL_Apparel_and_leather_and_allied_products,10896
321_Wood_products,143
322_Paper_products,803
323_Printing_and_related_support_activities,76
324_Petroleum_and_coal_products,3016
325_Chemical_products,2718
326_Plastics_and_rubber_products,847
327_Nonmetallic_mineral_products,231
331_Primary_metals,30
332_Fabricated_metal_products,420
333_Machinery,366
334_Computer_and_electronic_products,700
335_Electrical_equipment_appliances_and_components,1883
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,6416
3364OT_Other_transportation_equipment,157
337_Furniture_and_related_products,1413
339_Miscellaneous_manufacturing,2321
42_Wholesale_trade,4823
44RT_Retail_trade,30282
48_Transportation,6328
493_Warehousing_and_storage,4
51_Information,4446
52_Finance_and_insurance,4753
531_Real_estate,18915
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,840
54_Professional_scientific_and_technical_services,1315
55_Management_of_companies_and_enterprises,0
56_Administrative_and_waste_management_services,790
61_Educational_services,1527
62_Health_care_and_social_assistance,6678
71_Arts_entertainment_and_recreation,1880
721_Accommodation,990
722_Food_services_and_drinking_places,10724
81_Other_services_except_government,10655
GFE_Federal_government_enterprises,328
GFG_Federal_general_government,0
GSLE_State_and_local_government_enterprises,345
GSLG_State_and_local_general_government,0
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,173
Used_Scrap_used_and_secondhand_goods,683
