commodity,F010_Personal_consumption_expenditures
111CA_Farms,11136
113FF_Forestry_fishing_and_related_activities,1148
211_Oil_and_gas_extraction,0
212_Mining_except_oil_and_gas,21
213_Support_activities_for_mining,0
22_Utilities,35954
23_Construction,0
311FT_Food_and_beverage_and_tobacco_products,114928
313TT_Textile_mills_and_textile_product_mills,6556
315AL_Apparel_and_leather_and_allied_products,37578
321_Wood_products,407
322_Paper_products,3157
323_Printing_and_related_support_activities,568
324_Petroleum_and_coal_products,31455
325_Chemical_products,19221
326_Plastics_and_rubber_products,4846
327_Nonmetallic_mineral_products,1668
331_Primary_metals,252
332_Fabricated_metal_products,2327
333_Machinery,2169
334_Computer_and_electronic_products,6813
335_Electrical_equipment_appliances_and_components,8647
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,40262
3364OT_Other_transportation_equipment,3359
337_Furniture_and_related_products,7543
339_Miscellaneous_manufacturing,12055
42_Wholesale_trade,38998
44RT_Retail_trade,167244
481_Air_transportation,10434
482_Rail_transportation,3050
483_Water_transportation,1458
484_Truck_transportation,6546
485_Transit_and_ground_passenger_transportation,5327
486_Pipeline_transportation,322
487OS_Other_transportation_and_support_activities,452
493_Warehousing_and_storage,83
511_Publishing_industries_except_internet_includes_software,8305
512_Motion_picture_and_sound_recording_industries,3723
513_Broadcasting_and_telecommunications,23847
514_Data_processing_internet_publishing_and_other_information_services,0
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,19800
523_Securities_commodity_contracts_and_investments,4403
524_Insurance_carriers_and_related_activities,27048
525_Funds_trusts_and_other_financial_vehicles,5444
531_Real_estate,155543
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,3581
5411_Legal_services,8783
5412OP_Miscellaneous_professional_scientific_and_technical_services,5412
5415_Computer_systems_design_and_related_services,0
55_Management_of_companies_and_enterprises,0
561_Administrative_and_support_services,3832
562_Waste_management_and_remediation_services,769
61_Educational_services,19871
621_Ambulatory_health_care_services,43626
622HO_Hospitals_and_nursing_and_residential_care_facilities,60255
624_Social_assistance,6800
711AS_Performing_arts_spectator_sports_museums_and_related_activities,4729
713_Amusements_gambling_and_recreation_industries,8478
721_Accommodation,7966
722_Food_services_and_drinking_places,67581
81_Other_services_except_government,61236
GFE_Federal_government_enterprises,2475
GFG_Federal_general_government,0
GSLE_State_and_local_government_enterprises,3488
GSLG_State_and_local_general_government,0
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,250
Used_Scrap_used_and_secondhand_goods,4436
