commodity,F010_Personal_consumption_expenditures
111CA_Farms,5889
113FF_Forestry_fishing_and_related_activities,151
211_Oil_and_gas_extraction,0
212_Mining_except_oil_and_gas,328
213_Support_activities_for_mining,0
22_Utilities,7613
23_Construction,0
311FT_Food_and_beverage_and_tobacco_products,42168
313TT_Textile_mills_and_textile_product_mills,2339
315AL_Apparel_and_leather_and_allied_products,14410
321_Wood_products,217
322_Paper_products,1113
323_Printing_and_related_support_activities,305
324_Petroleum_and_coal_products,6237
325_Chemical_products,5200
326_Plastics_and_rubber_products,1284
327_Nonmetallic_mineral_products,332
331_Primary_metals,42
332_Fabricated_metal_products,549
333_Machinery,627
334_Computer_and_electronic_products,1419
335_Electrical_equipment_appliances_and_components,2929
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,8603
3364OT_Other_transportation_equipment,337
337_Furniture_and_related_products,2555
339_Miscellaneous_manufacturing,3373
42_Wholesale_trade,9218
44RT_Retail_trade,45252
48_Transportation,7649
493_Warehousing_and_storage,8
51_Information,8141
52_Finance_and_insurance,11134
531_Real_estate,40691
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,1246
54_Professional_scientific_and_technical_services,2191
55_Management_of_companies_and_enterprises,0
56_Administrative_and_waste_management_services,1438
61_Educational_services,3392
62_Health_care_and_social_assistance,14621
71_Arts_entertainment_and_recreation,2341
721_Accommodation,1720
722_Food_services_and_drinking_places,16257
81_Other_services_except_government,18852
GFE_Federal_government_enterprises,632
GFG_Federal_general_government,0
GSLE_State_and_local_government_enterprises,767
GSLG_State_and_local_general_government,0
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,1292
Used_Scrap_used_and_secondhand_goods,741
