commodity,F010_Personal_consumption_expenditures
111CA_Farms,30962
113FF_Forestry_fishing_and_related_activities,4506
211_Oil_and_gas_extraction,0
212_Mining_except_oil_and_gas,172
213_Support_activities_for_mining,0
22_Utilities,135391
23_Construction,0
311FT_Food_and_beverage_and_tobacco_products,287539
313TT_Textile_mills_and_textile_product_mills,17720
315AL_Apparel_and_leather_and_allied_products,113445
321_Wood_products,1445
322_Paper_products,11434
323_Printing_and_related_support_activities,2394
324_Petroleum_and_coal_products,62095
325_Chemical_products,77850
326_Plastics_and_rubber_products,15152
327_Nonmetallic_mineral_products,5230
331_Primary_metals,789
332_Fabricated_metal_products,7317
333_Machinery,5107
334_Computer_and_electronic_products,33795
335_Electrical_equipment_appliances_and_components,21238
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,124568
3364OT_Other_transportation_equipment,8042
337_Furniture_and_related_products,22934
339_Miscellaneous_manufacturing,50287
42_Wholesale_trade,142071
44RT_Retail_trade,583763
481_Air_transportation,48627
482_Rail_transportation,5427
483_Water_transportation,4786
484_Truck_transportation,30998
485_Transit_and_ground_passenger_transportation,14386
486_Pipeline_transportation,817
487OS_Other_transportation_and_support_activities,3611
493_Warehousing_and_storage,240
511_Publishing_industries_except_internet_includes_software,37499
512_Motion_picture_and_sound_recording_industries,19461
513_Broadcasting_and_telecommunications,106210
514_Data_processing_internet_publishing_and_other_information_services,1347
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,95744
523_Securities_commodity_contracts_and_investments,44810
524_Insurance_carriers_and_related_activities,149135
525_Funds_trusts_and_other_financial_vehicles,37832
531_Real_estate,709693
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,39450
5411_Legal_services,46975
5412OP_Miscellaneous_professional_scientific_and_technical_services,25221
5415_Computer_systems_design_and_related_services,0
55_Management_of_companies_and_enterprises,0
561_Administrative_and_support_services,19810
562_Waste_management_and_remediation_services,6630
61_Educational_services,99817
621_Ambulatory_health_care_services,323661
622HO_Hospitals_and_nursing_and_residential_care_facilities,376617
624_Social_assistance,48986
711AS_Performing_arts_spectator_sports_museums_and_related_activities,20928
713_Amusements_gambling_and_recreation_industries,55935
721_Accommodation,41955
722_Food_services_and_drinking_places,263848
81_Other_services_except_government,244536
GFE_Federal_government_enterprises,7372
GFG_Federal_general_government,0
GSLE_State_and_local_government_enterprises,27634
GSLG_State_and_local_general_government,0
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,-36133
Used_Scrap_used_and_secondhand_goods,31855
