commodity,F010_Personal_consumption_expenditures
111CA_Farms,36910
113FF_Forestry_fishing_and_related_activities,4736
211_Oil_and_gas_extraction,0
212_Mining_except_oil_and_gas,258
213_Support_activities_for_mining,0
22_Utilities,145067
23_Construction,0
311FT_Food_and_beverage_and_tobacco_products,308537
313TT_Textile_mills_and_textile_product_mills,16953
315AL_Apparel_and_leather_and_allied_products,121799
321_Wood_products,1806
322_Paper_products,12215
323_Printing_and_related_support_activities,2783
324_Petroleum_and_coal_products,69907
325_Chemical_products,85953
326_Plastics_and_rubber_products,17777
327_Nonmetallic_mineral_products,5820
331_Primary_metals,851
332_Fabricated_metal_products,7768
333_Machinery,5841
334_Computer_and_electronic_products,42495
335_Electrical_equipment_appliances_and_components,22384
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,121572
3364OT_Other_transportation_equipment,9432
337_Furniture_and_related_products,24755
339_Miscellaneous_manufacturing,59069
42_Wholesale_trade,161202
44RT_Retail_trade,633852
481_Air_transportation,57743
482_Rail_transportation,5186
483_Water_transportation,5222
484_Truck_transportation,35648
485_Transit_and_ground_passenger_transportation,15018
486_Pipeline_transportation,932
487OS_Other_transportation_and_support_activities,5052
493_Warehousing_and_storage,239
511_Publishing_industries_except_internet_includes_software,45847
512_Motion_picture_and_sound_recording_industries,24926
513_Broadcasting_and_telecommunications,122911
514_Data_processing_internet_publishing_and_other_information_services,2481
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,98617
523_Securities_commodity_contracts_and_investments,60871
524_Insurance_carriers_and_related_activities,158544
525_Funds_trusts_and_other_financial_vehicles,53738
531_Real_estate,795813
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54585
5411_Legal_services,50512
5412OP_Miscellaneous_professional_scientific_and_technical_services,25290
5415_Computer_systems_design_and_related_services,0
55_Management_of_companies_and_enterprises,0
561_Administrative_and_support_services,23193
562_Waste_management_and_remediation_services,8037
61_Educational_services,119201
621_Ambulatory_health_care_services,364470
622HO_Hospitals_and_nursing_and_residential_care_facilities,411887
624_Social_assistance,53800
711AS_Performing_arts_spectator_sports_museums_and_related_activities,22995
713_Amusements_gambling_and_recreation_industries,67477
721_Accommodation,48449
722_Food_services_and_drinking_places,276443
81_Other_services_except_government,272683
GFE_Federal_government_enterprises,8301
GFG_Federal_general_government,0
GSLE_State_and_local_government_enterprises,31855
GSLG_State_and_local_general_government,0
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,-44656
Used_Scrap_used_and_secondhand_goods,41546
