commodity,F010_Personal_consumption_expenditures
111CA_Farms,4493
113FF_Forestry_fishing_and_related_activities,359
211_Oil_and_gas_extraction,0
212_Mining_except_oil_and_gas,6
213_Support_activities_for_mining,0
22_Utilities,10950
23_Construction,0
311FT_Food_and_beverage_and_tobacco_products,42845
313TT_Textile_mills_and_textile_product_mills,2956
315AL_Apparel_and_leather_and_allied_products,15044
321_Wood_products,123
322_Paper_products,1005
323_Printing_and_related_support_activities,238
324_Petroleum_and_coal_products,7689
325_Chemical_products,6568
326_Plastics_and_rubber_products,1241
327_Nonmetallic_mineral_products,525
331_Primary_metals,70
332_Fabricated_metal_products,665
333_Machinery,556
334_Computer_and_electronic_products,1684
335_Electrical_equipment_appliances_and_components,3098
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,13570
3364OT_Other_transportation_equipment,427
337_Furniture_and_related_products,2699
339_Miscellaneous_manufacturing,3183
42_Wholesale_trade,15005
44RT_Retail_trade,64854
481_Air_transportation,2314
482_Rail_transportation,1758
483_Water_transportation,461
484_Truck_transportation,2096
485_Transit_and_ground_passenger_transportation,2208
486_Pipeline_transportation,122
487OS_Other_transportation_and_support_activities,109
493_Warehousing_and_storage,19
511_Publishing_industries_except_internet_includes_software,2947
512_Motion_picture_and_sound_recording_industries,1466
513_Broadcasting_and_telecommunications,6238
514_Data_processing_internet_publishing_and_other_information_services,0
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,3915
523_Securities_commodity_contracts_and_investments,1978
524_Insurance_carriers_and_related_activities,8827
525_Funds_trusts_and_other_financial_vehicles,725
531_Real_estate,56231
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,1446
5411_Legal_services,2642
5412OP_Miscellaneous_professional_scientific_and_technical_services,1226
5415_Computer_systems_design_and_related_services,0
55_Management_of_companies_and_enterprises,0
561_Administrative_and_support_services,1863
562_Waste_management_and_remediation_services,233
61_Educational_services,4947
621_Ambulatory_health_care_services,11726
622HO_Hospitals_and_nursing_and_residential_care_facilities,9640
624_Social_assistance,1135
711AS_Performing_arts_spectator_sports_museums_and_related_activities,1597
713_Amusements_gambling_and_recreation_industries,2501
721_Accommodation,2183
722_Food_services_and_drinking_places,20312
81_Other_services_except_government,24477
GFE_Federal_government_enterprises,884
GFG_Federal_general_government,0
GSLE_State_and_local_government_enterprises,910
GSLG_State_and_local_general_government,0
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,1449
T005_Total_Intermediate,0
