commodity,F010_Personal_consumption_expenditures
111CA_Farms,25146
113FF_Forestry_fishing_and_related_activities,3504
211_Oil_and_gas_extraction,0
212_Mining_except_oil_and_gas,58
213_Support_activities_for_mining,0
22_Utilities,113215
23_Construction,0
311FT_Food_and_beverage_and_tobacco_products,267014
313TT_Textile_mills_and_textile_product_mills,17661
315AL_Apparel_and_leather_and_allied_products,96526
321_Wood_products,882
322_Paper_products,10360
323_Printing_and_related_support_activities,1960
324_Petroleum_and_coal_products,70596
325_Chemical_products,69435
326_Plastics_and_rubber_products,12061
327_Nonmetallic_mineral_products,4422
331_Primary_metals,663
332_Fabricated_metal_products,6565
333_Machinery,4779
334_Computer_and_electronic_products,24000
335_Electrical_equipment_appliances_and_components,18936
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,112330
3364OT_Other_transportation_equipment,6843
337_Furniture_and_related_products,20037
339_Miscellaneous_manufacturing,40341
42_Wholesale_trade,113343
44RT_Retail_trade,477650
481_Air_transportation,37926
482_Rail_transportation,5685
483_Water_transportation,3436
484_Truck_transportation,23088
485_Transit_and_ground_passenger_transportation,11699
486_Pipeline_transportation,621
487OS_Other_transportation_and_support_activities,2237
493_Warehousing_and_storage,266
511_Publishing_industries_except_internet_includes_software,29144
512_Motion_picture_and_sound_recording_industries,14200
513_Broadcasting_and_telecommunications,82664
514_Data_processing_internet_publishing_and_other_information_services,100
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,67807
523_Securities_commodity_contracts_and_investments,27321
524_Insurance_carriers_and_related_activities,111737
525_Funds_trusts_and_other_financial_vehicles,23491
531_Real_estate,570615
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,20131
5411_Legal_services,40963
5412OP_Miscellaneous_professional_scientific_and_technical_services,20733
5415_Computer_systems_design_and_related_services,0
55_Management_of_companies_and_enterprises,0
561_Administrative_and_support_services,15282
562_Waste_management_and_remediation_services,4428
61_Educational_services,71988
621_Ambulatory_health_care_services,237373
622HO_Hospitals_and_nursing_and_residential_care_facilities,284567
624_Social_assistance,37097
711AS_Performing_arts_spectator_sports_museums_and_related_activities,16503
713_Amusements_gambling_and_recreation_industries,38732
721_Accommodation,32370
722_Food_services_and_drinking_places,226644
81_Other_services_except_government,206370
GFE_Federal_government_enterprises,6703
GFG_Federal_general_government,0
GSLE_State_and_local_government_enterprises,19878
GSLG_State_and_local_general_government,0
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,-21221
Used_Scrap_used_and_secondhand_goods,20091
