commodity,F010_Personal_consumption_expenditures
111CA_Farms,6819
113FF_Forestry_fishing_and_related_activities,677
211_Oil_and_gas_extraction,0
212_Mining_except_oil_and_gas,11
213_Support_activities_for_mining,0
22_Utilities,18749
23_Construction,0
311FT_Food_and_beverage_and_tobacco_products,73472
313TT_Textile_mills_and_textile_product_mills,4215
315AL_Apparel_and_leather_and_allied_products,25928
321_Wood_products,222
322_Paper_products,1664
323_Printing_and_related_support_activities,390
324_Petroleum_and_coal_products,12632
325_Chemical_products,12162
326_Plastics_and_rubber_products,2786
327_Nonmetallic_mineral_products,975
331_Primary_metals,149
332_Fabricated_metal_products,1250
333_Machinery,1135
334_Computer_and_electronic_products,3918
335_Electrical_equipment_appliances_and_components,5760
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,25268
3364OT_Other_transportation_equipment,1858
337_Furniture_and_related_products,4850
339_Miscellaneous_manufacturing,6377
42_Wholesale_trade,26029
44RT_Retail_trade,106357
481_Air_transportation,5569
482_Rail_transportation,2419
483_Water_transportation,991
484_Truck_transportation,4365
485_Transit_and_ground_passenger_transportation,3818
486_Pipeline_transportation,169
487OS_Other_transportation_and_support_activities,280
493_Warehousing_and_storage,43
511_Publishing_industries_except_internet_includes_software,5524
512_Motion_picture_and_sound_recording_industries,2662
513_Broadcasting_and_telecommunications,13184
514_Data_processing_internet_publishing_and_other_information_services,0
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,10474
523_Securities_commodity_contracts_and_investments,3494
524_Insurance_carriers_and_related_activities,17071
525_Funds_trusts_and_other_financial_vehicles,2010
531_Real_estate,99320
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,2201
5411_Legal_services,5479
5412OP_Miscellaneous_professional_scientific_and_technical_services,3301
5415_Computer_systems_design_and_related_services,0
55_Management_of_companies_and_enterprises,0
561_Administrative_and_support_services,2823
562_Waste_management_and_remediation_services,456
61_Educational_services,12585
621_Ambulatory_health_care_services,24315
622HO_Hospitals_and_nursing_and_residential_care_facilities,30572
624_Social_assistance,3442
711AS_Performing_arts_spectator_sports_museums_and_related_activities,2988
713_Amusements_gambling_and_recreation_industries,4200
721_Accommodation,4346
722_Food_services_and_drinking_places,38487
81_Other_services_except_government,41232
GFE_Federal_government_enterprises,1644
GFG_Federal_general_government,0
GSLE_State_and_local_government_enterprises,1837
GSLG_State_and_local_general_government,0
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,2572
T005_Total_Intermediate,0
