commodity,F010_Personal_consumption_expenditures
111CA_Farms,10892
113FF_Forestry_fishing_and_related_activities,1065
211_Oil_and_gas_extraction,0
212_Mining_except_oil_and_gas,20
213_Support_activities_for_mining,0
22_Utilities,31703
23_Construction,0
311FT_Food_and_beverage_and_tobacco_products,111393
313TT_Textile_mills_and_textile_product_mills,6252
315AL_Apparel_and_leather_and_allied_products,36920
321_Wood_products,395
322_Paper_products,3196
323_Printing_and_related_support_activities,569
324_Petroleum_and_coal_products,29097
325_Chemical_products,18580
326_Plastics_and_rubber_products,4701
327_Nonmetallic_mineral_products,1571
331_Primary_metals,238
332_Fabricated_metal_products,2151
333_Machinery,2082
334_Computer_and_electronic_products,6387
335_Electrical_equipment_appliances_and_components,8309
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,30826
3364OT_Other_transportation_equipment,3235
337_Furniture_and_related_products,7313
339_Miscellaneous_manufacturing,11368
42_Wholesale_trade,33266
44RT_Retail_trade,138809
481_Air_transportation,9092
482_Rail_transportation,3028
483_Water_transportation,1174
484_Truck_transportation,6087
485_Transit_and_ground_passenger_transportation,4871
486_Pipeline_transportation,273
487OS_Other_transportation_and_support_activities,414
493_Warehousing_and_storage,78
511_Publishing_industries_except_internet_includes_software,7912
512_Motion_picture_and_sound_recording_industries,3647
513_Broadcasting_and_telecommunications,21395
514_Data_processing_internet_publishing_and_other_information_services,0
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,19856
523_Securities_commodity_contracts_and_investments,3578
524_Insurance_carriers_and_related_activities,23888
525_Funds_trusts_and_other_financial_vehicles,4435
531_Real_estate,141924
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,3273
5411_Legal_services,7983
5412OP_Miscellaneous_professional_scientific_and_technical_services,4816
5415_Computer_systems_design_and_related_services,0
55_Management_of_companies_and_enterprises,0
561_Administrative_and_support_services,3267
562_Waste_management_and_remediation_services,699
61_Educational_services,18023
621_Ambulatory_health_care_services,38772
622HO_Hospitals_and_nursing_and_residential_care_facilities,51987
624_Social_assistance,5789
711AS_Performing_arts_spectator_sports_museums_and_related_activities,4242
713_Amusements_gambling_and_recreation_industries,7420
721_Accommodation,6975
722_Food_services_and_drinking_places,60007
81_Other_services_except_government,55348
GFE_Federal_government_enterprises,2107
GFG_Federal_general_government,0
GSLE_State_and_local_government_enterprises,3111
GSLG_State_and_local_general_government,0
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,1134
Used_Scrap_used_and_secondhand_goods,3602
