commodity,F010_Personal_consumption_expenditures
111CA_Farms,5671
113FF_Forestry_fishing_and_related_activities,151
211_Oil_and_gas_extraction,0
212_Mining_except_oil_and_gas,454
213_Support_activities_for_mining,0
22_Utilities,7048
23_Construction,0
311FT_Food_and_beverage_and_tobacco_products,39914
313TT_Textile_mills_and_textile_product_mills,2335
315AL_Apparel_and_leather_and_allied_products,14013
321_Wood_products,214
322_Paper_products,1104
323_Printing_and_related_support_activities,282
324_Petroleum_and_coal_products,5980
325_Chemical_products,4863
326_Plastics_and_rubber_products,1317
327_Nonmetallic_mineral_products,327
331_Primary_metals,43
332_Fabricated_metal_products,539
333_Machinery,641
334_Computer_and_electronic_products,1425
335_Electrical_equipment_appliances_and_components,2895
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,10731
3364OT_Other_transportation_equipment,300
337_Furniture_and_related_products,2477
339_Miscellaneous_manufacturing,3419
42_Wholesale_trade,8857
44RT_Retail_trade,45175
48_Transportation,7798
493_Warehousing_and_storage,7
51_Information,7719
52_Finance_and_insurance,10597
531_Real_estate,38025
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,1211
54_Professional_scientific_and_technical_services,2024
55_Management_of_companies_and_enterprises,0
56_Administrative_and_waste_management_services,1336
61_Educational_services,3041
62_Health_care_and_social_assistance,13142
71_Arts_entertainment_and_recreation,2313
721_Accommodation,1698
722_Food_services_and_drinking_places,16103
81_Other_services_except_government,17934
GFE_Federal_government_enterprises,601
GFG_Federal_general_government,0
GSLE_State_and_local_government_enterprises,724
GSLG_State_and_local_general_government,0
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,1135
Used_Scrap_used_and_secondhand_goods,711
