commodity,F010_Personal_consumption_expenditures
111CA_Farms,31486
113FF_Forestry_fishing_and_related_activities,4584
211_Oil_and_gas_extraction,0
212_Mining_except_oil_and_gas,210
213_Support_activities_for_mining,0
22_Utilities,137445
23_Construction,0
311FT_Food_and_beverage_and_tobacco_products,295643
313TT_Textile_mills_and_textile_product_mills,16913
315AL_Apparel_and_leather_and_allied_products,115984
321_Wood_products,1577
322_Paper_products,12258
323_Printing_and_related_support_activities,2508
324_Petroleum_and_coal_products,62089
325_Chemical_products,80575
326_Plastics_and_rubber_products,16121
327_Nonmetallic_mineral_products,5479
331_Primary_metals,830
332_Fabricated_metal_products,7516
333_Machinery,5480
334_Computer_and_electronic_products,38665
335_Electrical_equipment_appliances_and_components,21735
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,119262
3364OT_Other_transportation_equipment,8323
337_Furniture_and_related_products,23133
339_Miscellaneous_manufacturing,54212
42_Wholesale_trade,152510
44RT_Retail_trade,611987
481_Air_transportation,52515
482_Rail_transportation,5245
483_Water_transportation,4849
484_Truck_transportation,32349
485_Transit_and_ground_passenger_transportation,14613
486_Pipeline_transportation,810
487OS_Other_transportation_and_support_activities,4231
493_Warehousing_and_storage,245
511_Publishing_industries_except_internet_includes_software,41309
512_Motion_picture_and_sound_recording_industries,21988
513_Broadcasting_and_telecommunications,112216
514_Data_processing_internet_publishing_and_other_information_services,1953
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,96475
523_Securities_commodity_contracts_and_investments,51176
524_Insurance_carriers_and_related_activities,153496
525_Funds_trusts_and_other_financial_vehicles,45504
531_Real_estate,756385
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,46908
5411_Legal_services,47342
5412OP_Miscellaneous_professional_scientific_and_technical_services,25172
5415_Computer_systems_design_and_related_services,0
55_Management_of_companies_and_enterprises,0
561_Administrative_and_support_services,21581
562_Waste_management_and_remediation_services,7304
61_Educational_services,109191
621_Ambulatory_health_care_services,347993
622HO_Hospitals_and_nursing_and_residential_care_facilities,394199
624_Social_assistance,51985
711AS_Performing_arts_spectator_sports_museums_and_related_activities,21786
713_Amusements_gambling_and_recreation_industries,62237
721_Accommodation,44429
722_Food_services_and_drinking_places,269660
81_Other_services_except_government,257714
GFE_Federal_government_enterprises,7981
GFG_Federal_general_government,0
GSLE_State_and_local_government_enterprises,29812
GSLG_State_and_local_general_government,0
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,-40377
Used_Scrap_used_and_secondhand_goods,35787
