commodity,F010_Personal_consumption_expenditures
111CA_Farms,4793
113FF_Forestry_fishing_and_related_activities,308
211_Oil_and_gas_extraction,0
212_Mining_except_oil_and_gas,54
213_Support_activities_for_mining,0
22_Utilities,10393
23_Construction,0
311FT_Food_and_beverage_and_tobacco_products,43161
313TT_Textile_mills_and_textile_product_mills,2831
315AL_Apparel_and_leather_and_allied_products,15104
321_Wood_products,140
322_Paper_products,1135
323_Printing_and_related_support_activities,253
324_Petroleum_and_coal_products,7519
325_Chemical_products,6301
326_Plastics_and_rubber_products,1294
327_Nonmetallic_mineral_products,490
331_Primary_metals,62
332_Fabricated_metal_products,635
333_Machinery,578
334_Computer_and_electronic_products,1593
335_Electrical_equipment_appliances_and_components,3025
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,12143
3364OT_Other_transportation_equipment,416
337_Furniture_and_related_products,2595
339_Miscellaneous_manufacturing,3269
42_Wholesale_trade,12850
44RT_Retail_trade,60217
48_Transportation,8827
493_Warehousing_and_storage,17
51_Information,10279
52_Finance_and_insurance,14780
531_Real_estate,53132
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,1355
54_Professional_scientific_and_technical_services,3348
55_Management_of_companies_and_enterprises,0
56_Administrative_and_waste_management_services,1925
61_Educational_services,4714
62_Health_care_and_social_assistance,20274
71_Arts_entertainment_and_recreation,3701
721_Accommodation,2041
722_Food_services_and_drinking_places,19402
81_Other_services_except_government,23334
GFE_Federal_government_enterprises,787
GFG_Federal_general_government,0
GSLE_State_and_local_government_enterprises,824
GSLG_State_and_local_general_government,0
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,1487
Used_Scrap_used_and_secondhand_goods,1172
