commodity,F010_Personal_consumption_expenditures
111CA_Farms,15013
113FF_Forestry_fishing_and_related_activities,1617
211_Oil_and_gas_extraction,0
212_Mining_except_oil_and_gas,25
213_Support_activities_for_mining,0
22_Utilities,51583
23_Construction,0
311FT_Food_and_beverage_and_tobacco_products,152427
313TT_Textile_mills_and_textile_product_mills,9058
315AL_Apparel_and_leather_and_allied_products,51613
321_Wood_products,591
322_Paper_products,5225
323_Printing_and_related_support_activities,903
324_Petroleum_and_coal_products,51904
325_Chemical_products,27700
326_Plastics_and_rubber_products,7406
327_Nonmetallic_mineral_products,2301
331_Primary_metals,365
332_Fabricated_metal_products,3537
333_Machinery,3032
334_Computer_and_electronic_products,9234
335_Electrical_equipment_appliances_and_components,11809
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,54320
3364OT_Other_transportation_equipment,4783
337_Furniture_and_related_products,11246
339_Miscellaneous_manufacturing,17480
42_Wholesale_trade,49456
44RT_Retail_trade,212170
481_Air_transportation,13775
482_Rail_transportation,3840
483_Water_transportation,2446
484_Truck_transportation,10041
485_Transit_and_ground_passenger_transportation,6260
486_Pipeline_transportation,468
487OS_Other_transportation_and_support_activities,663
493_Warehousing_and_storage,151
511_Publishing_industries_except_internet_includes_software,13140
512_Motion_picture_and_sound_recording_industries,5422
513_Broadcasting_and_telecommunications,31593
514_Data_processing_internet_publishing_and_other_information_services,0
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,28220
523_Securities_commodity_contracts_and_investments,6113
524_Insurance_carriers_and_related_activities,40433
525_Funds_trusts_and_other_financial_vehicles,8698
531_Real_estate,217783
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,4544
5411_Legal_services,11732
5412OP_Miscellaneous_professional_scientific_and_technical_services,7179
5415_Computer_systems_design_and_related_services,0
55_Management_of_companies_and_enterprises,0
561_Administrative_and_support_services,5394
562_Waste_management_and_remediation_services,1104
61_Educational_services,25718
621_Ambulatory_health_care_services,61870
622HO_Hospitals_and_nursing_and_residential_care_facilities,90238
624_Social_assistance,10916
711AS_Performing_arts_spectator_sports_museums_and_related_activities,6620
713_Amusements_gambling_and_recreation_industries,12135
721_Accommodation,11267
722_Food_services_and_drinking_places,96089
81_Other_services_except_government,83145
GFE_Federal_government_enterprises,3248
GFG_Federal_general_government,0
GSLE_State_and_local_government_enterprises,5001
GSLG_State_and_local_general_government,0
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,-279
T005_Total_Intermediate,0
