commodity,F010_Personal_consumption_expenditures
111CA_Farms,5492
113FF_Forestry_fishing_and_related_activities,123
211_Oil_and_gas_extraction,0
212_Mining_except_oil_and_gas,710
213_Support_activities_for_mining,0
22_Utilities,4969
23_Construction,0
311FT_Food_and_beverage_and_tobacco_products,35099
313TT_Textile_mills_and_textile_product_mills,2230
315AL_Apparel_and_leather_and_allied_products,12544
321_Wood_products,180
322_Paper_products,966
323_Printing_and_related_support_activities,166
324_Petroleum_and_coal_products,4276
325_Chemical_products,3543
326_Plastics_and_rubber_products,1009
327_Nonmetallic_mineral_products,294
331_Primary_metals,38
332_Fabricated_metal_products,510
333_Machinery,435
334_Computer_and_electronic_products,1057
335_Electrical_equipment_appliances_and_components,2450
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,9220
3364OT_Other_transportation_equipment,162
337_Furniture_and_related_products,2022
339_Miscellaneous_manufacturing,2886
42_Wholesale_trade,6259
44RT_Retail_trade,37851
48_Transportation,7256
493_Warehousing_and_storage,5
51_Information,6179
52_Finance_and_insurance,7490
531_Real_estate,28899
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,1152
54_Professional_scientific_and_technical_services,1655
55_Management_of_companies_and_enterprises,0
56_Administrative_and_waste_management_services,998
61_Educational_services,2089
62_Health_care_and_social_assistance,9081
71_Arts_entertainment_and_recreation,2049
721_Accommodation,1274
722_Food_services_and_drinking_places,13939
81_Other_services_except_government,13986
GFE_Federal_government_enterprises,468
GFG_Federal_general_government,0
GSLE_State_and_local_government_enterprises,478
GSLG_State_and_local_general_government,0
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,773
Used_Scrap_used_and_secondhand_goods,472
