commodity,F010_Personal_consumption_expenditures
111CA_Farms,5255
113FF_Forestry_fishing_and_related_activities,222
211_Oil_and_gas_extraction,0
212_Mining_except_oil_and_gas,172
213_Support_activities_for_mining,0
22_Utilities,9133
23_Construction,0
311FT_Food_and_beverage_and_tobacco_products,43113
313TT_Textile_mills_and_textile_product_mills,2533
315AL_Apparel_and_leather_and_allied_products,14878
321_Wood_products,182
322_Paper_products,1131
323_Printing_and_related_support_activities,283
324_Petroleum_and_coal_products,6986
325_Chemical_products,5731
326_Plastics_and_rubber_products,1296
327_Nonmetallic_mineral_products,396
331_Primary_metals,50
332_Fabricated_metal_products,581
333_Machinery,630
334_Computer_and_electronic_products,1520
335_Electrical_equipment_appliances_and_components,3030
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,11743
3364OT_Other_transportation_equipment,396
337_Furniture_and_related_products,2575
339_Miscellaneous_manufacturing,3322
42_Wholesale_trade,11124
44RT_Retail_trade,52782
48_Transportation,8245
493_Warehousing_and_storage,12
51_Information,9207
52_Finance_and_insurance,13135
531_Real_estate,46702
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,1282
54_Professional_scientific_and_technical_services,2720
55_Management_of_companies_and_enterprises,0
56_Administrative_and_waste_management_services,1703
61_Educational_services,4026
62_Health_care_and_social_assistance,17359
71_Arts_entertainment_and_recreation,3023
721_Accommodation,1880
722_Food_services_and_drinking_places,17928
81_Other_services_except_government,21227
GFE_Federal_government_enterprises,682
GFG_Federal_general_government,0
GSLE_State_and_local_government_enterprises,722
GSLG_State_and_local_general_government,0
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,1469
Used_Scrap_used_and_secondhand_goods,793
