commodity,F010_Personal_consumption_expenditures
111CA_Farms,5520
113FF_Forestry_fishing_and_related_activities,108
211_Oil_and_gas_extraction,0
212_Mining_except_oil_and_gas,1185
213_Support_activities_for_mining,0
22_Utilities,2921
23_Construction,0
311FT_Food_and_beverage_and_tobacco_products,28748
313TT_Textile_mills_and_textile_product_mills,2074
315AL_Apparel_and_leather_and_allied_products,11278
321_Wood_products,148
322_Paper_products,829
323_Printing_and_related_support_activities,59
324_Petroleum_and_coal_products,2906
325_Chemical_products,2692
326_Plastics_and_rubber_products,898
327_Nonmetallic_mineral_products,234
331_Primary_metals,31
332_Fabricated_metal_products,431
333_Machinery,355
334_Computer_and_electronic_products,673
335_Electrical_equipment_appliances_and_components,2006
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,4420
3364OT_Other_transportation_equipment,165
337_Furniture_and_related_products,1438
339_Miscellaneous_manufacturing,2368
42_Wholesale_trade,4354
44RT_Retail_trade,30406
48_Transportation,6495
493_Warehousing_and_storage,4
51_Information,4157
52_Finance_and_insurance,4547
531_Real_estate,17165
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,772
54_Professional_scientific_and_technical_services,1262
55_Management_of_companies_and_enterprises,0
56_Administrative_and_waste_management_services,779
61_Educational_services,1466
62_Health_care_and_social_assistance,6447
71_Arts_entertainment_and_recreation,1915
721_Accommodation,996
722_Food_services_and_drinking_places,10901
81_Other_services_except_government,10400
GFE_Federal_government_enterprises,325
GFG_Federal_general_government,0
GSLE_State_and_local_government_enterprises,339
GSLG_State_and_local_general_government,0
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,-60
Used_Scrap_used_and_secondhand_goods,723
